Stock,Group,Region,Metric,Category,Use,Threshold Value High,Threshold Value Low,Reverse,Mean,Stdev,Max,Min,Value,Quality,Order1,Order2,Rank0,Flag,Rank
Pollock,Roundfish,GOA,Recruitment Variability,Ecosystem,Yes,0.9,0.3,No,0.626755339,0.257351262,1.05,0.332979127,0.91,3,1,9,0.804747665,1,0.925
Pollock,Roundfish,GOA,Relative Fishing Mortality,Socioeconomic,No,0.9,0.25,No,0.319417968,0.228228829,0.900738634,0,0.635618878,4,43,12,0.705664056,,0.894
Pollock,Roundfish,GOA,Commercial Importance,Socioeconomic,Yes,0.729513501,0.645556499,No,0.603585556,0.270171516,1,0,0.888093688,3,31,5,0.888093688,1,0.918
Pollock,Roundfish,GOA,Natural Mortality,Ecosystem,Yes,0.5,0.2,No,0.196413793,0.195789274,1,0.03,0.3,3,2,29,0.278350515,,0.771
Pollock,Roundfish,GOA,Relative Stock Abundance,Ecosystem,No,0.5,1.2,Yes,1.745167825,0.628635436,3.262385004,0.520664332,0.956804806,3,34,8,0.840924541,,0.074
Pollock,Roundfish,GOA,Growth Rate,Ecosystem,Yes,0.1,0.25,Yes,0.174834341,0.109642666,0.445,0.022,0.3,3,3,27,0.342789598,,0.117
Pollock,Roundfish,GOA,Recreational Index,Socioeconomic,No,,,No,26021.22222,41188.18114,122501,7,,1,45,68,NA,,NA
Pollock,Roundfish,GOA,Catch,Socioeconomic,No,,,,40910.29243,182269.7611,1321581,0,163064,4,51,46,0.123385551,,0.962
Pollock,Roundfish,GOA,TAC,Socioeconomic,No,,,,52831.9375,191727.0498,1310000,100,186526,3,54,41,0.142320788,,0.957
Pollock,Roundfish,GOA,OFL,Ecosystem,No,,,,115596.06,470480.8576,3330000,560,256545,3,52,53,0.076885302,,0.938
Pollock,Roundfish,GOA,ABC,Ecosystem,No,,,,73621.35417,239652.9225,1637000,453,191309,3,53,47,0.116621154,,0.914
Pollock,Roundfish,GOA,Fishing_Mortality (Z-M),Socioeconomic,No,,,,0.069519053,0.134024088,0.900738634,0,0.15,4,56,38,0.166529995,,0.877
Pollock,Roundfish,GOA,Stock Size over Status,Ecosystem,No,,,No,1.25,0.585314097,3,1,2,3,35,19,0.5,,0.851
Pollock,Roundfish,GOA,Ecosystem Value Bottom-Up,Ecosystem,Yes,,,No,2.449152542,1.425430713,5,1,5,3,29,3,1,,0.844
Pollock,Roundfish,GOA,Total_Mortality,Ecosystem,No,,,,0.26672595,0.308989632,1.900738634,0.036,0.45,3,55,32,0.222015028,,0.842
Pollock,Roundfish,GOA,Habitat Dependence Index,Ecosystem,Yes,,,No,1.357142857,0.772918235,3,1,3,3,24,4,1,,0.836
Pollock,Roundfish,GOA,Biomass,Ecosystem,No,,,,234537.875,518883.9756,3540000,5352,251012,3,49,56,0.069500556,,0.836
Pollock,Roundfish,GOA,Constituent Demand,Socioeconomic,Yes,,,No,2.73,1.607412676,5,0,5,4,32,1,1,,0.816
Pollock,Roundfish,GOA,B_MSY,Ecosystem,No,,,,180606.4286,370829.139,1984200,7198,262344,3,50,43,0.129057027,,0.814
Pollock,Roundfish,GOA,Lat_Max,Ecosystem,No,,,,65.91935484,5.19867066,79,60,68,3,64,25,0.421052632,,0.786
Pollock,Roundfish,GOA,Fishing_Rate_Relative_Natural_Mortality,Socioeconomic,No,,,,0.313625445,0.288537257,1.15,0,0.5,3,57,23,0.434782609,,0.754
Pollock,Roundfish,GOA,Common/Max Length,Ecosystem,No,,,,99.04484151,126.2037305,700,20,105,3,61,44,0.125,,0.73
Pollock,Roundfish,GOA,Reproductive Strategy,Ecosystem,Yes,,,No,1.875,0.254950976,2.3,1.6,2.1,3,20,11,0.714285714,,0.714
Pollock,Roundfish,GOA,Spawning Duration,Ecosystem,Yes,,,Yes,5.6,3.190026832,12,2,4,3,18,10,0.8,,0.695
Pollock,Roundfish,GOA,Ecosystem Value Top-Down,Ecosystem,Yes,,,No,2.313559322,1.312730456,5,0,3,3,30,14,0.6,,0.689
Pollock,Roundfish,GOA,Length 50% Maturity,Ecosystem,Yes,,,No,45.52172727,27.98778625,130,13.5,41,3,8,31,0.236051502,,0.629
Pollock,Roundfish,GOA,Non-Catch Value,Socioeconomic,Yes,,,No,1.967391304,1.419711136,5,0,3,3,33,15,0.6,,0.555
Pollock,Roundfish,GOA,Transformation Size,Ecosystem,No,,,,31.97857143,17.35764866,67.5,13.4,32.5,3,41,26,0.353049908,,0.538
Pollock,Roundfish,GOA,Feeding Larvae Size,Ecosystem,No,,,,18.73,10.43828462,41.5,8,15,3,39,34,0.208955224,,0.5
Pollock,Roundfish,GOA,Subsistence Fishery Importance,Socioeconomic,No,,,No,0.987179487,1.216591331,4,0,1,1,48,30,0.25,,0.5
Pollock,Roundfish,GOA,Long_Max,Ecosystem,No,,,,128.5294118,21.19496123,180,109,120,3,66,40,0.154929577,,0.484
Pollock,Roundfish,GOA,OA Sensitivity,Ecosystem,Yes,,,No,1.869354839,0.537019312,2.8,1,2,2,26,17,0.555555556,,0.475
Pollock,Roundfish,GOA,Lat_Min,Ecosystem,No,,,,32.90322581,6.657202872,54,17,34,3,63,22,0.459459459,,0.475
Pollock,Roundfish,GOA,Egg Diameter,Ecosystem,No,,,,1.677419355,0.831961408,4,0.8,1.485,3,37,33,0.2140625,,0.466
