SOURCE_TARGET_NAME,PRODUCT,REPORT_CARD_TITLE,Intended ESP,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,ORDER,ORDER2
SUM_PCOD_BIOM_BBRKC,Summer_Pacific_Cod_Biomass_BBRKC_Survey,Summer Pacific cod biomass in Bristol Bay crab management area from the AFSC EBS bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,51,23
SUM_WIND_STRESS_BBRKC,Summer_Wind_Stress_BBRKC_Satellite,Summer wind stress (m/s) in Bristol Bay crab management area from NOAA/NCDC blended winds and Metop-A ASCAT satellite,Bristol Bay Red King Crab,2020,2020,NA,NA,-1,1,52,24
WIN_SPR_NPI,Winter_Spring_North_Pacific_Index_Model,"North Pacific Index (NPI) calculated as the area-weighted sea level pressure (SLP) from November to March over the region 30°N-65°N, 160°E-140°W",EBS Pacific Cod,2020,2020,NA,NA,1,1,57,1
WIN_SEA_ICE_ADVANCE_BS,Winter_Sea_Ice_Advance_BS_Satellite,Anomalies of average daily sea-ice extent relative to 1978-2010 mean computed over ice-advance season of December through February,EBS Pacific Cod,2020,2020,NA,NA,1,1,58,2
WIN_SEA_ICE_RETREAT_BS,Spring_Sea_Ice_Retreat_BS_Satellite,Anomalies of average daily sea-ice extent relative to 1978-2010 mean computed over ice-retreat season of March through May,EBS Pacific Cod,2020,2020,NA,NA,1,1,59,3
SPR_SUM_SST_SEBS,Spring_Summer_Temperature_Surface_SEBS_Satellite,Spring to summer (April-June) daily sea surface temperatures (SST) for the southeastern Bering Sea shelf from the NOAA Coral Reef Watch Program,EBS Pacific Cod,2020,2020,NA,NA,-1,1,60,4
SUM_BTM_TEMP_SEBS,Summer_Temperature_Bottom_SEBS_Model,Summer (July-September) bottom temperatures over the southeastern Bering Sea shelf from the Bering 10K ROMS-NPZ model,EBS Pacific Cod,2020,2020,NA,NA,-1,1,61,5
SPR_CHLORO_SEBS,Spring_Chlorophylla_Peak_SEBS_Satellite,Peak timing of the spring bloom averaged across individual ADF&G statistical areas in the southeastern Bering Sea from the MODIS satellite,EBS Pacific Cod,2020,2020,NA,NA,1,1,62,6
SUM_EUPH_ABUND_EBS,Summer_Euphausiid_Abundance_EBS_Survey,Summer euphausiid abundance for the eastern Bering Sea shelf from the AFSC acoustic survey,EBS Pacific Cod,2020,2020,NA,NA,1,1,63,7
SUM_PCOD_COND_JUV_EBS,Summer_Pacific_Cod_Condition_Juvenile_EBS_Survey,Summer condition for juvenile (<460 mm) Pacific cod from the AFSC EBS shelf bottom trawl survey,EBS Pacific Cod,2020,2020,NA,NA,1,1,64,8
SUM_PCOD_COND_ADULT_EBS,Summer_Pacific_Cod_Condition_Adult_EBS_Survey,Summer condition for adult (>=460 mm) Pacific cod from the AFSC EBS shelf bottom trawl survey,EBS Pacific Cod,2020,2020,NA,NA,1,1,65,9
SUM_PCOD_CEN_GRAV_E_EBS,Summer_Pacific_Cod_Center_Gravity_East_EBS_Model,Summer Pacific cod center of gravity eastings estimated by a spatio-temporal model using the package VAST on AFSC EBS bottom trawl survey data,EBS Pacific Cod,2020,2020,NA,NA,1,1,66,10
SUM_PCOD_CEN_GRAV_N_EBS,Summer_Pacific_Cod_Center_Gravity_North_EBS_Model,Summer Pacific cod center of gravity northings estimated by a spatio-temporal model using the package VAST on AFSC EBS bottom trawl survey data,EBS Pacific Cod,2020,2020,NA,NA,-1,1,67,11
SUM_PCOD_AREA_OCC_EBS,Summer_Pacific_Cod_Area_Occupied_EBS_Model,Summer Pacific cod area occupied estimated by a spatio-temporal model using the package VAST on AFSC EBS bottom trawl survey data,EBS Pacific Cod,2020,2020,NA,NA,1,1,68,12
ANN_ARTH_BIOM_EBS,Annual_Arrowtooth_Biomass_EBS_Model,Arrowtooth flounder total biomass from the most recent stock assessment model in the EBS,EBS Pacific Cod,2020,2020,NA,NA,-1,1,69,13
ANN_PCOD_EXVES_VAL_EBS,Annual_Pacific_Cod_Real_Exvessel_Value_EBS_Fishery,Annual estimated real ex-vessel value of EBS Pacific cod,EBS Pacific Cod,2020,2020,NA,NA,1,1,70,14
ANN_PCOD_EXVES_PRC_EBS,Annual_Pacific_Cod_Real_Exvessel_Price_EBS_Fishery,Annual real ex-vessel price per pound of EBS Pacific cod from fish ticket information,EBS Pacific Cod,2020,2020,NA,NA,1,1,71,15
ANN_PCOD_REV_PUE_EBS,Annual_Pacific_Cod_Real_Revenue_Per_Unit_Effort_EBS_Fishery,Annual estimated real revenue per unit effort measured in weeks fished of EBS Pacific cod,EBS Pacific Cod,2020,2020,NA,NA,1,1,72,16
